City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,wawa,9.9022,4.4192,310.35,29,100,1.6,NG,1681742377
250,itoman,26.1247,127.6694,296.36,83,0,3.6,JP,1681742379
251,goryachegorsk,55.4053,88.9154,268.65,88,100,5.07,RU,1681742380
252,marsa matruh,31.3525,27.2453,296.26,46,0,5.66,EG,1681742380
253,sitrah,26.1547,50.6206,299.27,50,0,2.06,BH,1681742381
254,mokhotlong,-29.2894,29.0675,289.29,35,0,1.48,LS,1681742381
255,karasjok,69.4719,25.5112,275.7,97,99,5.86,NO,1681742382
256,baykit,61.67,96.37,262.86,93,90,1.79,RU,1681742383
257,akdepe,42.0551,59.3788,285.2,27,0,7.36,TM,1681742383
258,constantine,36.365,6.6147,287.82,54,75,5.66,DZ,1681742384
259,juneau,58.3019,-134.4197,277.16,97,100,0.0,US,1681742365
260,souillac,-20.5167,57.5167,299.2,81,28,4.59,MU,1681742385
261,vallenar,-28.5708,-70.7581,293.71,46,2,1.85,CL,1681742385
262,bandar-e lengeh,26.5579,54.8807,299.21,50,100,4.12,IR,1681742386
263,troy,42.6056,-83.1499,277.32,86,100,7.2,US,1681742295
264,yining,29.0361,114.5636,295.92,79,68,1.49,CN,1681742387
265,santa cruz,-17.8,-63.1667,298.85,94,75,5.14,BO,1681742365
266,udachnyy,66.4167,112.4,269.1,97,100,2.18,RU,1681742389
267,srednekolymsk,67.45,153.6833,266.74,96,100,2.32,RU,1681742390
268,luderitz,-26.6481,15.1594,297.31,44,7,1.53,NA,1681742391
269,nefteyugansk,61.0998,72.6035,260.25,92,100,5.33,RU,1681742392
270,asau,46.4333,26.4,281.66,96,100,2.35,RO,1681742393
271,cayenne,4.9333,-52.3333,297.17,100,100,3.6,GF,1681742177
272,saint george,37.1041,-113.5841,283.48,43,0,0.0,US,1681742394
273,riberalta,-10.9833,-66.1,301.26,83,75,2.06,BO,1681742395
274,severo-kurilsk,50.6789,156.125,274.43,97,100,8.28,RU,1681742395
275,hay river,60.8156,-115.7999,276.14,65,75,6.17,CA,1681742396
276,moses lake,47.1301,-119.2781,274.35,75,0,1.54,US,1681742396
277,casablanca,33.5928,-7.6192,304.27,68,20,3.09,MA,1681742234
278,pesochnoye,58.006,39.1772,283.5,56,99,2.35,RU,1681742398
279,seoul,37.5683,126.9778,288.91,45,0,2.57,KR,1681741808
280,bahia blanca,-38.7196,-62.2724,289.16,86,73,2.24,AR,1681742328
281,malanville,11.8685,3.3899,314.1,18,70,1.59,BJ,1681742400
282,road town,18.4167,-64.6167,300.17,69,75,2.57,VG,1681742396
283,korampallam,8.7667,78.1,302.63,66,0,5.39,IN,1681742362
284,makat,47.6469,53.3463,286.91,27,0,1.62,KZ,1681742404
285,coquimbo,-29.9533,-71.3436,289.0,77,20,1.54,CL,1681742194
286,aitape,-3.1374,142.3475,298.96,88,90,2.32,PG,1681742406
287,kortkeros,61.8106,51.5806,285.15,96,36,0.55,RU,1681742407
288,lorengau,-2.0226,147.2712,300.04,83,100,2.64,PG,1681742408
289,lubango,-14.9172,13.4925,297.31,42,65,2.07,AO,1681742411
290,tilichiki,60.4667,166.1,272.43,97,100,6.56,RU,1681742412
291,sorland,67.667,12.6934,281.07,81,40,4.12,NO,1681742413
292,esperance,-33.8667,121.9,290.72,73,99,7.96,AU,1681742414
293,koutsouras,35.0339,25.9469,293.77,69,9,3.07,GR,1681742415
294,hovd,48.0056,91.6419,280.8,58,2,8.13,MN,1681742416
295,kutum,14.2,24.6667,307.24,9,30,3.8,SD,1681742417
296,tasiilaq,65.6145,-37.6368,275.24,98,100,9.05,GL,1681742418
297,mendi,-6.1761,143.6513,284.86,97,94,1.6,PG,1681742419
298,rio grande,-32.035,-52.0986,295.21,66,70,6.92,BR,1681742147
299,kerman,30.2832,57.0788,293.07,26,75,3.09,IR,1681742407
300,provideniya,64.3833,-173.3,256.28,100,98,0.93,RU,1681742423
301,sao gabriel da cachoeira,-0.1303,-67.0892,297.04,100,75,1.54,BR,1681742424
302,nouadhibou,20.931,-17.0347,297.14,57,20,7.72,MR,1681742424
303,gamba,-2.65,10.0,301.89,67,29,3.89,GA,1681742426
304,gumdag,39.2061,54.5906,288.83,14,5,7.4,TM,1681742427
305,inhambane,-23.865,35.3833,300.14,57,20,4.12,MZ,1681742428
306,ilheus,-14.7889,-39.0494,303.05,70,75,5.14,BR,1681742428
307,muzhi,65.3667,64.6667,260.37,86,4,0.83,RU,1681742429
308,tazovskiy,67.4667,78.7,260.88,97,100,2.27,RU,1681742430
309,andenes,69.3143,16.1194,280.33,81,75,5.66,NO,1681742430
310,alofi,-19.0595,-169.9187,297.09,83,100,5.14,NU,1681742436
311,wuzhou,23.4833,111.3167,298.42,71,100,2.07,CN,1681742437
312,simpang,-1.2667,104.0833,297.52,94,38,0.95,ID,1681742438
313,ribeira brava,32.65,-17.0667,296.32,74,90,0.35,PT,1681742439
314,nuevo casas grandes,30.4167,-107.9167,293.01,21,4,2.09,MX,1681742439
315,te anau,-45.4167,167.7167,284.53,94,100,1.73,NZ,1681742440
316,lazarev,52.225,141.5131,266.97,90,13,3.26,RU,1681742440
317,hasaki,35.7333,140.8333,284.37,59,9,4.04,JP,1681742441
318,gat,31.61,34.7642,303.37,100,0,4.54,IL,1681742442
319,portland,45.5234,-122.6762,280.35,79,75,7.72,US,1681742327
320,medea,36.2642,2.7539,290.99,28,3,2.89,DZ,1681742444
321,chake chake,-5.2459,39.7666,300.02,79,97,4.64,TZ,1681742445
322,kudahuvadhoo,2.6708,72.8944,302.07,66,7,0.14,MV,1681742446
323,kihei,20.785,-156.4656,295.84,86,0,2.06,US,1681742447
324,bulaevo,54.9056,70.4439,269.92,35,20,5.16,KZ,1681742448
325,kapuskasing,49.4169,-82.4331,272.2,93,100,2.57,CA,1681742449
326,yerbogachen,61.2767,108.0108,256.83,93,31,1.36,RU,1681742450
327,son la,21.3167,103.9,298.65,38,0,1.97,VN,1681742451
328,mayo,38.8876,-76.5119,290.51,47,20,4.63,US,1681742452
329,el doncello,1.6782,-75.2847,297.27,87,100,0.97,CO,1681742452
330,nuevo progreso,23.1667,-97.95,296.19,73,49,0.89,MX,1681742453
331,port-cartier,50.0334,-66.8654,277.45,88,100,5.98,CA,1681742454
332,phitsanulok,16.9167,100.5,305.21,37,2,2.89,TH,1681742454
333,kelowna,49.8831,-119.4857,278.7,52,0,1.03,CA,1681742410
334,jiuquan,39.7432,98.5174,290.05,28,100,3.48,CN,1681742458
335,liezen,47.5667,14.2333,284.51,69,91,1.94,AT,1681742458
336,port lincoln,-34.7333,135.8667,289.48,92,1,4.44,AU,1681742459
337,hervey bay,-25.2986,152.8535,296.8,72,34,9.97,AU,1681742223
338,san cristobal,7.7669,-72.225,291.25,83,100,0.39,VE,1681742460
339,vidim,56.4088,103.1106,269.27,66,100,4.28,RU,1681742461
340,panacan,9.2463,118.4082,300.32,82,22,2.22,PH,1681742462
341,port saint john,28.477,-80.7887,295.11,87,100,5.66,US,1681742462
342,shihezi,44.3,86.0333,289.1,47,100,3.56,CN,1681742463
343,salaya,22.3167,69.6,301.17,69,0,5.73,IN,1681742464
344,tha mai,12.6214,102.0048,303.18,78,93,2.66,TH,1681742399
345,nuuk,64.1835,-51.7216,272.49,69,20,4.12,GL,1681742466
346,changji,44.0167,87.3167,288.59,58,0,5.0,CN,1681742467
347,novaya zaimka,56.4857,66.9241,270.63,41,0,3.22,RU,1681742468
348,macau,22.2006,113.5461,300.85,94,40,3.09,MO,1681742468
349,jaca,42.569,-0.5499,292.66,30,21,3.01,ES,1681742469
350,vao,-22.6667,167.4833,299.31,86,100,2.3,NC,1681742470
351,dornoch,57.8805,-4.0288,292.14,78,40,4.63,GB,1681742471
352,chachapoyas,-6.2317,-77.869,290.37,81,95,1.11,PE,1681742321
353,lompoc,34.6391,-120.4579,284.14,84,100,6.26,US,1681742473
354,berlevag,70.8578,29.0864,278.15,87,75,8.23,NO,1681742474
355,krasyliv,49.6519,26.9725,284.49,56,100,5.18,UA,1681742474
356,corralillo,22.9819,-80.5856,302.6,56,0,3.58,CU,1681742475
357,lasa,46.6166,10.7002,289.65,76,99,2.09,IT,1681742476
358,odweyne,9.4092,45.064,303.53,26,68,6.45,SO,1681742477
359,kirakira,-10.4544,161.9205,298.29,84,97,2.23,SB,1681742478
360,ahuimanu,21.4447,-157.8378,295.99,90,20,2.06,US,1681742479
361,sao filipe,14.8961,-24.4956,297.95,74,53,6.02,CV,1681742480
362,santa catalina,9.3337,122.8637,300.2,79,8,1.21,PH,1681742481
363,dolores,-36.3132,-57.6792,292.38,35,9,2.84,AR,1681742482
364,sribne,50.6638,32.9187,286.68,41,72,5.41,UA,1681742483
365,middle island,40.8843,-72.9373,288.04,97,100,2.57,US,1681742484
366,karratha,-20.7377,116.8463,298.1,40,51,1.96,AU,1681742485
367,puerto madryn,-42.7692,-65.0385,284.61,40,4,4.71,AR,1681742487
368,cromarty,57.6805,-4.0339,292.05,73,20,4.63,GB,1681742487
369,locri,38.2414,16.2623,288.57,63,97,2.79,IT,1681742488
370,naze,28.3667,129.4833,292.66,71,0,3.44,JP,1681742489
371,nenton,15.8,-91.75,300.18,47,71,1.99,GT,1681742491
372,asheville,35.6009,-82.554,288.13,36,0,3.6,US,1681742455
373,sao desiderio,-12.3633,-44.9733,306.11,37,68,2.71,BR,1681742492
374,rio gallegos,-51.6226,-69.2181,273.18,100,100,7.72,AR,1681742493
375,gigmoto,13.7796,124.39,300.1,85,24,2.53,PH,1681742494
376,rovnoye,50.7765,46.0509,285.1,40,42,3.14,RU,1681742494
377,khed brahma,24.0333,73.05,305.52,15,0,3.61,IN,1681742495
378,college,64.8569,-147.8028,264.12,83,100,1.54,US,1681742496
379,huilong,31.8111,121.655,291.09,80,5,5.95,CN,1681742497
380,podgorica,42.4411,19.2636,293.03,37,40,1.54,ME,1681742490
381,puerto maldonado,-12.6,-69.1833,300.37,83,75,1.54,PE,1681742249
382,fort nelson,58.8053,-122.7002,277.92,65,75,1.54,CA,1681742485
383,milledgeville,33.0801,-83.2321,290.06,49,0,6.17,US,1681742499
384,ratnagiri,16.9833,73.3,301.1,74,0,3.91,IN,1681742500
385,nihommatsu,37.5833,140.4333,281.65,81,96,2.22,JP,1681742500
386,rawa mazowiecka,51.7644,20.2549,285.32,85,100,5.03,PL,1681742501
387,abu samrah,35.3029,37.1841,299.86,29,13,2.13,SY,1681742502
388,methoni,36.8197,21.7049,292.16,69,78,3.07,GR,1681742502
389,phon,15.816,102.5998,309.18,41,72,4.87,TH,1681742503
390,puerto quijarro,-17.7833,-57.7667,305.19,55,93,2.93,BO,1681742504
391,bertoua,4.5833,13.6833,304.98,41,92,2.64,CM,1681742505
392,vardo,70.3705,31.1107,276.14,87,75,7.2,NO,1681742505
393,udayagiri,20.1333,84.3833,303.89,34,100,0.73,IN,1681742506
394,okha,53.5739,142.9478,270.21,85,100,6.17,RU,1681742507
395,rudbar,30.15,62.6,296.29,23,0,7.59,AF,1681742507
